ja,en
あの人[ひと]はだれですか,who is that person; hito means person.
昼[ひる]は友達[ともだち]と一緒[いっしょ]にご飯[はん]を食[た]べます,I eat lunch together with a friend; taberu means to eat.
毎日[まいにち]水[みず]をたくさん飲[の]むようにしています,I try to drink a lot of water every day; nomu means to drink.
今[いま]はお金[かね]が少[すこ]ししかありません,I only have a little money now; okane means money.
あの店[みせ]はとても新[あたら]しいです,that shop is very new; mise means shop.
あの店[みせ]で新[あたら]しい本[ほん]を買[か]うつもりです,I plan to buy a new book at that shop; kau means to buy.
この店[みせ]には安[やす]い物[もの]が多[おお]いです,this shop has many cheap things; mono means thing.
昨日[きのう]友達[ともだち]から大切[たいせつ]な事[こと]を聞[き]きました,I heard something important from a friend yesterday; koto means matter.
家[いえ]でご飯[はん]を作[つく]るのが好[す]きです,I like cooking meals at home; tsukuru means to make.
この本[ほん]は学校[がっこう]でも使[つか]うことができます,you can use this book at school too; tsukau means to use.
私[わたし]の仕事[しごと]はとても忙[いそが]しいです,my job is very busy; shigoto means work.
あの会社[かいしゃ]はとても大[おお]きいです,that company is very big; kaisha means company.
私[わたし]はあの会社[かいしゃ]で働[はたら]くつもりです,I plan to work at that company; hataraku means to work.
私[わたし]の車[くるま]は古[ふる]いですがいい車[くるま]です,my car is old but it is a good car; kuruma means car.
昨日[きのう]友達[ともだち]から電話[でんわ]がありました,I got a phone call from a friend yesterday; denwa means telephone.
私[わたし]は日本語[にほんご]の先生[せんせい]になるつもりです,I plan to become a Japanese teacher; naru means to become.
ここで友達[ともだち]を待[ま]つつもりです,I plan to wait for my friend here; matsu means to wait.
友達[ともだち]に会[あ]うのはとても楽[たの]しいです,meeting friends is a lot of fun; au means to meet.
私[わたし]の部屋[へや]はとてもきれいです,my room is very clean; heya means room.
この部屋[へや]の窓[まど]は大[おお]きいです,the window of this room is big; mado means window.
毎朝[まいあさ]七時[しちじ]に家[いえ]を出[で]るようにしています,I try to leave home at seven every morning; deru means to go out.
この部屋[へや]に入[はい]ることができますか,may I come into this room; hairu means to enter.
暑[あつ]いですから窓[まど]を開[あ]けます,it is hot so I will open the window; akeru means to open.
寒[さむ]いので窓[まど]を閉[し]めてください,it is cold so please close the window; shimeru means to close.
重[おも]い物[もの]を持[も]つのは大変[たいへん]です,carrying heavy things is hard; motsu means to hold.
ここに立[た]つことはできません,you cannot stand here; tatsu means to stand.
私[わたし]はあそこに座[すわ]るつもりです,I am going to sit over there; suwaru means to sit.
毎朝[まいあさ]六時[ろくじ]に起[お]きます,I get up at six every morning; okiru means to wake up.
昨日[きのう]は早[はや]く寝[ね]ることができました,I was able to go to bed early yesterday; neru means to sleep.
明日[あした]は仕事[しごと]を休[やす]むつもりです,I plan to take tomorrow off work; yasumu means to rest.
友達[ともだち]と遊[あそ]ぶ時間[じかん]がありません,I have no time to hang out with friends; asobu means to play.
毎日[まいにち]学校[がっこう]まで歩[ある]くようにしています,I try to walk to school every day; aruku means to walk.
毎朝[まいあさ]三十分[さんじゅっぷん]走[はし]るつもりです,I plan to run for thirty minutes every morning; hashiru means to run.
先生[せんせい]は私[わたし]たちに日本語[にほんご]を教[おし]えます,the teacher teaches us Japanese; oshieru means to teach.
私[わたし]は日本語[にほんご]を習[なら]うために学校[がっこう]に行[い]きます,I go to school to learn Japanese; narau means to learn.
毎日[まいにち]日本語[にほんご]の勉強[べんきょう]をしています,I study Japanese every day; benkyou means study.
明日[あした]から新[あたら]しい仕事[しごと]を始[はじ]めます,I will start a new job tomorrow; hajimeru means to begin.
今日[きょう]の仕事[しごと]は六時[ろくじ]に終[お]わります,today's work finishes at six; owaru means to end.
その本[ほん]を手[て]に持[も]っています,I am holding that book in my hand; te means hand.
あの人[ひと]は目[め]がとてもきれいです,that person has very beautiful eyes; me means eye.
今日[きょう]は友達[ともだち]の顔[かお]を見[み]ませんでした,I did not see my friend's face today; kao means face.
今日[きょう]は頭[あたま]が少[すこ]し痛[いた]いです,my head hurts a little today; atama means head.
あの人[ひと]は口[くち]が大[おお]きいです,that person has a big mouth; kuchi means mouth.
私[わたし]は耳[みみ]が少[すこ]し痛[いた]いです,my ears hurt a little; mimi means ear.
昨日[きのう]たくさん歩[ある]いたので足[あし]が痛[いた]いです,my legs hurt because I walked a lot yesterday; ashi means leg or foot.
毎日[まいにち]歩[ある]くと体[からだ]にいいです,walking every day is good for your body; karada means body.
あの先生[せんせい]は声[こえ]がとても大[おお]きいです,that teacher has a very loud voice; koe means voice.
あの人[ひと]はどこの国[くに]から来[き]ましたか,what country did that person come from; kuni means country.
この町[まち]には店[みせ]がたくさんあります,there are many shops in this town; machi means town.
駅[えき]は学校[がっこう]の前[まえ]にあります,the station is in front of the school; eki means station.
この道[みち]をまっすぐ行[い]くと駅[えき]があります,if you go straight along this road there is a station; michi means road.
毎朝[まいあさ]電車[でんしゃ]で会社[かいしゃ]に行[い]きます,I go to the company by train every morning; densha means train.
学校[がっこう]までバスで三十分[さんじゅっぷん]かかります,it takes thirty minutes to school by bus; basu means bus.
駅[えき]で電車[でんしゃ]に乗[の]るつもりです,I am going to get on the train at the station; noru means to ride.
次[つぎ]の駅[えき]で電車[でんしゃ]を降[お]ります,I will get off the train at the next station; oriru means to get off.
電車[でんしゃ]は六時[ろくじ]に駅[えき]に着[つ]くそうです,I hear the train arrives at the station at six; tsuku means to arrive.
明日[あした]の朝[あさ]は早[はや]く出[で]かけます,I will go out early tomorrow morning; dekakeru means to go out.
今日[きょう]はとてもいい天気[てんき]です,the weather is very good today; tenki means weather.
昨日[きのう]の夜[よる]は雨[あめ]でした,it was rainy last night; ame means rain.
明日[あした]は雨[あめ]が降[ふ]ると思[おも]います,I think it will rain tomorrow; furu means to fall as rain or snow.
今日[きょう]は雪[ゆき]が降[ふ]るかもしれません,it might snow today; yuki means snow.
今日[きょう]は風[かぜ]がとても強[つよ]いです,the wind is very strong today; kaze means wind.
あの山[やま]はとても高[たか]いです,that mountain is very high; yama means mountain.
この町[まち]には大[おお]きい川[かわ]があります,there is a big river in this town; kawa means river.
友達[ともだち]と海[うみ]を見[み]に行[い]きました,I went to see the sea with a friend; umi means sea.
今日[きょう]は空[そら]がとてもきれいです,the sky is very beautiful today; sora means sky.
あの店[みせ]で花[はな]を買[か]いました,I bought flowers at that shop; hana means flower.
家[いえ]の前[まえ]に大[おお]きい木[き]があります,there is a big tree in front of the house; ki means tree.
私[わたし]の家[いえ]には犬[いぬ]が一匹[いっぴき]います,there is one dog at my house; inu means dog.
あの猫[ねこ]はとても小[ちい]さくてかわいいです,that cat is very small and cute; neko means cat.
朝[あさ]は鳥[とり]の声[こえ]が聞[き]こえます,you can hear birds in the morning; tori means bird.
この店[みせ]の魚[さかな]はとても新[あたら]しいです,the fish at this shop is very fresh; sakana means fish.
私[わたし]は魚[さかな]より肉[にく]が好[す]きです,I like meat more than fish; niku means meat.
毎日[まいにち]野菜[やさい]を食[た]べるようにしています,I try to eat vegetables every day; yasai means vegetable.
この店[みせ]の果物[くだもの]は少[すこ]し高[たか]いです,the fruit at this shop is a little expensive; kudamono means fruit.
朝[あさ]はいつもパンを食[た]べます,I always eat bread in the morning; pan means bread.
友達[ともだち]と一緒[いっしょ]にお茶[ちゃ]を飲[の]みました,I drank tea together with a friend; ocha means tea.
私[わたし]は毎朝[まいあさ]コーヒーを飲[の]みます,I drink coffee every morning; koohii means coffee.
私[わたし]は毎日[まいにち]家[いえ]で料理[りょうり]をします,I cook at home every day; ryouri means cooking.
家族[かぞく]はみんな元気[げんき]です,my family is all doing well; genki means good health.
昨日[きのう]から病気[びょうき]で会社[かいしゃ]を休[やす]んでいます,I have been off work sick since yesterday; byouki means illness.
今日[きょう]は朝[あさ]から病院[びょういん]に行[い]きました,I went to the hospital this morning; byouin means hospital.
この薬[くすり]をご飯[はん]の後[あと]に飲[の]んでください,please take this medicine after your meal; kusuri means medicine.
今年[ことし]はとても忙[いそが]しい年[とし]でした,this year was a very busy year; toshi means year.
今日[きょう]はとてもいい日[ひ]でした,today was a very good day; hi means day.
今週[こんしゅう]は仕事[しごと]がとても多[おお]いです,I have a lot of work this week; konshuu means this week.
来週[らいしゅう]友達[ともだち]と海[うみ]に行[い]きます,I am going to the sea with a friend next week; raishuu means next week.
明日[あした]の午前[ごぜん]は家[いえ]にいます,I will be at home tomorrow morning; gozen means morning hours.
午後[ごご]から雨[あめ]が降[ふ]るそうです,they say it will rain from the afternoon; gogo means afternoon.
私[わたし]の時計[とけい]は少[すこ]し古[ふる]いです,my watch is a little old; tokei means clock or watch.
毎朝[まいあさ]新聞[しんぶん]を読[よ]む時間[じかん]がありません,I have no time to read the newspaper each morning; shinbun means newspaper.
友達[ともだち]に長[なが]い手紙[てがみ]を書[か]きました,I wrote a long letter to my friend; tegami means letter.
明日[あした]友達[ともだち]に手紙[てがみ]を送[おく]るつもりです,I plan to send the letter to my friend tomorrow; okuru means to send.
これは家族[かぞく]の写真[しゃしん]です,this is a photo of my family; shashin means photograph.
海[うみ]で写真[しゃしん]を撮[と]るのが好[す]きです,I like taking photos at the sea; toru means to take a photo.
夜[よる]は家[いえ]でテレビを見[み]ます,I watch television at home at night; terebi means television.
明日[あした]友達[ともだち]と映画[えいが]を見[み]に行[い]きます,I am going to see a movie with a friend tomorrow; eiga means movie.
私[わたし]は音楽[おんがく]を聞[き]くのが好[す]きです,I like listening to music; ongaku means music.
友達[ともだち]と一緒[いっしょ]に歌[うた]うのは楽[たの]しいです,singing together with friends is fun; utau means to sing.
先生[せんせい]の話[はなし]はとても長[なが]かったです,the teacher's talk was very long; hanashi means talk or story.
日本語[にほんご]には難[むずか]しい言葉[ことば]が多[おお]いです,Japanese has many difficult words; kotoba means word.
この言葉[ことば]の意味[いみ]を教[おし]えてください,please tell me the meaning of this word; imi means meaning.
先生[せんせい]に質問[しつもん]をしてもいいですか,may I ask the teacher a question; shitsumon means question.
学生[がくせい]は先生[せんせい]の質問[しつもん]に答[こた]えました,the student answered the teacher's question; kotaeru means to answer.
この問題[もんだい]はとても難[むずか]しいです,this problem is very difficult; mondai means problem.
今日[きょう]の宿題[しゅくだい]はもう終[お]わりました,today's homework is already finished; shukudai means homework.
明日[あした]の授業[じゅぎょう]は九時[くじ]からです,tomorrow's class is from nine; jugyou means class.
友達[ともだち]はあの大学[だいがく]の学生[がくせい]です,my friend is a student at that university; daigaku means university.
学校[がっこう]の図書館[としょかん]はとても静[しず]かです,the school library is very quiet; toshokan means library.
銀行[ぎんこう]は駅[えき]の近[ちか]くにあります,the bank is near the station; ginkou means bank.
公園[こうえん]の花[はな]はとてもきれいです,the flowers in the park are very beautiful; kouen means park.
ここはこの町[まち]で一番[いちばん]きれいな場所[ばしょ]です,this is the most beautiful place in this town; basho means place.
部屋[へや]の中[なか]はとても暑[あつ]いです,it is very hot inside the room; naka means inside.
今日[きょう]は外[そと]でご飯[はん]を食[た]べましょう,let us eat outside today; soto means outside.
公園[こうえん]には子供[こども]がたくさんいます,there are a lot of children in the park; kodomo means child.
大人[おとな]も子供[こども]もこの映画[えいが]が好[す]きです,both adults and children like this movie; otona means adult.
あそこに立[た]っている男[おとこ]の人[ひと]は先生[せんせい]です,the man standing over there is a teacher; otoko means man.
女[おんな]の人[ひと]が二人[ふたり]店[みせ]に入[はい]りました,two women went into the shop; onna means woman.
私[わたし]の母[はは]は料理[りょうり]がとても上手[じょうず]です,my mother is very good at cooking; haha means mother.
父[ちち]は毎日[まいにち]会社[かいしゃ]で働[はたら]いています,my father works at a company every day; chichi means father.
今日[きょう]は一人[ひとり]でご飯[はん]を食[た]べました,I ate alone today; hitori means one person.
私[わたし]はこの町[まち]に住[す]むつもりです,I plan to live in this town; sumu means to live somewhere.
私[わたし]はこの町[まち]で生[う]まれました,I was born in this town; umareru means to be born.
水[みず]がないと魚[さかな]は死[し]ぬそうです,they say fish die without water; shinu means to die.
あの人[ひと]はいつもよく笑[わら]う人[ひと]です,that person is someone who laughs a lot; warau means to laugh.
子供[こども]が泣[な]く声[こえ]が聞[き]こえます,I can hear a child crying; naku means to cry.
今日[きょう]はたくさん歩[ある]いたので疲[つか]れました,I got tired because I walked a lot today; tsukareru means to get tired.
お金[かね]がないと困[こま]ることが多[おお]いです,there are many troubles when you have no money; komaru means to be in trouble.
新[あたら]しい言葉[ことば]をたくさん覚[おぼ]えました,I memorized a lot of new words; oboeru means to memorize.
友達[ともだち]の名前[なまえ]を忘[わす]れてしまいました,I have forgotten my friend's name; wasureru means to forget.
明日[あした]の仕事[しごと]について考[かんが]えています,I am thinking about tomorrow's work; kangaeru means to think over.
来週[らいしゅう]までに場所[ばしょ]を決[き]めます,I will decide the place by next week; kimeru means to decide.
この中[なか]から好[す]きな物[もの]を選[えら]ぶことができます,you can choose anything you like from these; erabu means to choose.
私[わたし]は新[あたら]しい仕事[しごと]を探[さが]すつもりです,I plan to look for a new job; sagasu means to look for.
駅[えき]の近[ちか]くでいい店[みせ]を見[み]つけました,I found a good shop near the station; mitsukeru means to find.
昨日[きのう]は母[はは]の料理[りょうり]を手伝[てつだ]いました,I helped my mother with the cooking yesterday; tetsudau means to help.
明日[あした]は新[あたら]しい服[ふく]を買[か]いに行[い]きます,I am going to buy new clothes tomorrow; fuku means clothes.
寒[さむ]いので温[あたた]かい服[ふく]を着[き]るつもりです,it is cold so I will wear warm clothes; kiru means to wear.
この靴[くつ]は少[すこ]し小[ちい]さいです,these shoes are a little small; kutsu means shoes.
ご飯[はん]の前[まえ]に手[て]を洗[あら]うようにしています,I try to wash my hands before meals; arau means to wash.
今日[きょう]は部屋[へや]の掃除[そうじ]をしました,I cleaned my room today; souji means cleaning.
午後[ごご]から友達[ともだち]と買[か]い物[もの]に行[い]きます,I am going shopping with a friend this afternoon; kaimono means shopping.
毎朝[まいあさ]公園[こうえん]を散歩[さんぽ]します,I take a walk in the park every morning; sanpo means a stroll.
来週[らいしゅう]家族[かぞく]と旅行[りょこう]に行[い]きます,I am going on a trip with my family next week; ryokou means travel.
毎日[まいにち]日本語[にほんご]を練習[れんしゅう]しています,I practice Japanese every day; renshuu means practice.
学校[がっこう]の図書館[としょかん]で本[ほん]を借[か]りました,I borrowed a book from the school library; kariru means to borrow.
友達[ともだち]にお金[かね]を貸[か]すつもりです,I am going to lend my friend some money; kasu means to lend.
借[か]りた本[ほん]は明日[あした]返[かえ]すつもりです,I plan to return the book I borrowed tomorrow; kaesu means to give back.
あの店[みせ]は野菜[やさい]も魚[さかな]も売[う]るそうです,I hear that shop sells vegetables and fish; uru means to sell.
この店[みせ]では先[さき]にお金[かね]を払[はら]うそうです,at this shop you pay first; harau means to pay.
大切[たいせつ]な物[もの]はここに置[お]くようにしています,I try to put important things here; oku means to put.
そこにある新聞[しんぶん]を取[と]ることができますか,can you grab the newspaper over there; toru means to take.
ここを押[お]すとドアが開[あ]きます,the door opens when you press here; osu means to push.
このドアは引[ひ]くと開[あ]きます,this door opens when you pull it; hiku means to pull.
病気[びょうき]のときは先生[せんせい]を呼[よ]ぶことができます,you can call the doctor when you are sick; yobu means to call.
今日[きょう]は時間[じかん]がありますから急[いそ]ぐことはありません,we have time today so there is no need to hurry; isogu means to hurry.
これからも日本語[にほんご]の勉強[べんきょう]を続[つづ]けます,I will keep studying Japanese from now on; tsuzukeru means to continue.
この道[みち]を渡[わた]ると駅[えき]が見[み]えます,when you cross this road you can see the station; wataru means to cross.
その道[みち]を右[みぎ]に曲[ま]がってください,please turn right at that road; magaru means to turn.
あの店[みせ]の前[まえ]に並[なら]ぶ人[ひと]は多[おお]いです,many people line up in front of that shop; narabu means to line up.
この机[つくえ]の上[うえ]に本[ほん]があります,there is a book on this desk; tsukue means desk.
その椅子[いす]に座[すわ]ってもいいですか,may I sit on that chair; isu means chair.
部屋[へや]の鍵[かぎ]を家[いえ]に忘[わす]れました,I left my room key at home; kagi means key.
先生[せんせい]、いつもありがとうございます,thank you as always teacher; arigatou means thank you.
すみません、この本[ほん]はいくらですか,excuse me how much is this book; sumimasen means excuse me or sorry.
春[はる]になると外[そと]がとても暖[あたた]かくなります,when spring comes it gets very warm outside; haru means spring.
日本[にほん]の夏[なつ]はとても暑[あつ]いです,summer in Japan is very hot; natsu means summer.
秋[あき]は山[やま]の木[き]がきれいになります,the mountain trees become beautiful in autumn; aki means autumn.
冬[ふゆ]の朝[あさ]はとても寒[さむ]いです,winter mornings are very cold; fuyu means winter.
この服[ふく]の色[いろ]がとても好[す]きです,I really like the color of these clothes; iro means color.
外[そと]から大[おお]きい音[おと]が聞[き]こえました,I heard a loud sound from outside; oto means sound.
白[しろ]い紙[かみ]に名前[なまえ]を書[か]いてください,please write your name on the white paper; kami means paper.
この箱[はこ]の中[なか]に本[ほん]が入[はい]っています,there are books in this box; hako means box.
店[みせ]で袋[ふくろ]をもらいました,I got a bag at the shop; fukuro means bag or sack.
食[た]べた後[あと]で皿[さら]を洗[あら]います,I wash the plates after eating; sara means plate.
日本[にほん]では箸[はし]でご飯[はん]を食[た]べます,in Japan people eat rice with chopsticks; hashi means chopsticks.
出[で]かける前[まえ]に鏡[かがみ]で顔[かお]を見[み]ます,I look at my face in the mirror before going out; kagami means mirror.
店[みせ]で新[あたら]しい帽子[ぼうし]を買[か]いました,I bought a new hat at the shop; boushi means hat.
この靴下[くつした]は小[ちい]さくて足[あし]が痛[いた]いです,these socks are small and my feet hurt; kutsushita means socks.
寒[さむ]い日[ひ]は手袋[てぶくろ]を使[つか]います,I use gloves on cold days; tebukuro means gloves.
私[わたし]は目[め]が悪[わる]いので眼鏡[めがね]を使[つか]います,my eyes are bad so I wear glasses; megane means glasses.
家[いえ]の庭[にわ]に小[ちい]さい花[はな]があります,there are small flowers in the garden of my house; niwa means garden.
部屋[へや]の壁[かべ]が白[しろ]くてきれいです,the wall of the room is white and clean; kabe means wall.
寒[さむ]いので戸[と]を閉[し]めてください,it is cold so please close the door; to means door.
棚[たな]の上[うえ]に古[ふる]い本[ほん]を置[お]きました,I put an old book on the shelf; tana means shelf.
夜[よる]は布団[ふとん]で寝[ね]ます,I sleep on a futon at night; futon means a futon.
この枕[まくら]は少[すこ]し高[たか]いです,this pillow is a little too high; makura means pillow.
子供[こども]が床[ゆか]で遊[あそ]んでいます,the child is playing on the floor; yuka means floor.
日本[にほん]の家[いえ]では靴[くつ]を脱[ぬ]ぐことが多[おお]いです,in Japanese homes people usually take off their shoes; nugu means to take off.
今日[きょう]はお客[きゃく]さんがたくさん来[き]ました,many customers came today; kyaku means customer or guest.
この店[みせ]の店員[てんいん]はいつも元気[げんき]です,the shop clerks here are always cheerful; tenin means shop clerk.
この店[みせ]の品物[しなもの]は少[すこ]し高[たか]いです,the goods at this shop are a little expensive; shinamono means goods.
お湯[ゆ]を使[つか]ってお茶[ちゃ]を入[い]れます,I make tea using hot water; yu means hot water.
母[はは]は今[いま]台所[だいどころ]で料理[りょうり]をしています,my mother is cooking in the kitchen now; daidokoro means kitchen.
水[みず]は冷蔵庫[れいぞうこ]の中[なか]にあります,the water is in the fridge; reizouko means refrigerator.
水[みず]に氷[こおり]を入[い]れて飲[の]みます,I put ice in my water and drink it; koori means ice.
財布[さいふ]の中[なか]にお金[かね]があまりありません,there is not much money in my wallet; saifu means wallet.
この荷物[にもつ]はとても重[おも]いです,this luggage is very heavy; nimotsu means luggage.
雨[あめ]の日[ひ]は傘[かさ]を持[も]って出[で]かけます,on rainy days I go out with an umbrella; kasa means umbrella.
冬[ふゆ]の夜[よる]は毛布[もうふ]がないと寒[さむ]いです,winter nights are cold without a blanket; moufu means blanket.
新[あたら]しい鞄[かばん]に本[ほん]を入[い]れました,I put a book in my new bag; kaban means bag.
窓[まど]を拭[ふ]くと部屋[へや]が明[あか]るくなります,the room gets brighter when you wipe the windows; fuku means to wipe.
天気[てんき]がいい日[ひ]に洗濯[せんたく]をします,I do the laundry on days with good weather; sentaku means laundry.
部屋[へや]を出[で]る時[とき]は電気[でんき]を消[け]します,I turn off the light when I leave the room; denki means electricity or lights.
夜[よる]はお風呂[ふろ]に入[はい]ってから寝[ね]ます,at night I take a bath and then go to bed; furo means bath.
家族[かぞく]と一緒[いっしょ]に食事[しょくじ]をします,I have meals together with my family; shokuji means a meal.
この料理[りょうり]には豆[まめ]がたくさん入[はい]っています,this dish has a lot of beans in it; mame means bean.
秋[あき]においしい芋[いも]を食[た]べました,I ate tasty potatoes in autumn; imo means potato.
子供[こども]は毎日[まいにち]牛乳[ぎゅうにゅう]を飲[の]みます,children drink milk every day; gyuunyuu means milk.
日本[にほん]の味噌[みそ]で料理[りょうり]を作[つく]ります,I cook with Japanese miso; miso means fermented soybean paste.
朝[あさ]ご飯[はん]に卵[たまご]を食[た]べました,I ate an egg for breakfast; tamago means egg.
日本[にほん]の米[こめ]はとてもおいしいです,Japanese rice is very tasty; kome means uncooked rice.
この料理[りょうり]は味[あじ]がとてもいいです,this dish has a very good taste; aji means taste.
肉[にく]に塩[しお]を少[すこ]し入[い]れます,I put a little salt on the meat; shio means salt.
私[わたし]はお茶[ちゃ]に砂糖[さとう]を入[い]れません,I do not put sugar in my tea; satou means sugar.
毎日[まいにち]自分[じぶん]で弁当[べんとう]を作[つく]ります,I make my own boxed lunch every day; bentou means a boxed lunch.
日本[にほん]の食[た]べ物[もの]が大好[だいす]きです,I love Japanese food; tabemono means food.
子供[こども]と一緒[いっしょ]にお菓子[かし]を作[つく]りました,I made sweets together with my child; okashi means sweets.
壁[かべ]に古[ふる]い絵[え]があります,there is an old picture on the wall; e means picture.
店[みせ]で切手[きって]を五[ご]まい買[か]いました,I bought five stamps at the shop; kitte means postage stamp.
封筒[ふうとう]に手紙[てがみ]を入[い]れました,I put the letter in an envelope; fuutou means envelope.
子供[こども]は学校[がっこう]で新[あたら]しい歌[うた]を習[なら]いました,the children learned a new song at school; uta means song.
学校[がっこう]で楽器[がっき]の練習[れんしゅう]をします,I practice a musical instrument at school; gakki means musical instrument.
毎日[まいにち]手帳[てちょう]を持[も]って会社[かいしゃ]に行[い]きます,I take my planner to the office every day; techou means pocket notebook.
店[みせ]で新[あたら]しい雑誌[ざっし]を買[か]いました,I bought a new magazine at the shop; zasshi means magazine.
道[みち]が分[わ]からない時[とき]は交番[こうばん]で聞[き]きます,when I do not know the way I ask at the police box; kouban means police box.
郵便局[ゆうびんきょく]で手紙[てがみ]を出[だ]します,I send letters at the post office; yuubinkyoku means post office.
駅[えき]の近[ちか]くの本屋[ほんや]で本[ほん]を買[か]いました,I bought a book at the bookshop near the station; honya means bookshop.
この町[まち]には古[ふる]い寺[てら]があります,there is an old temple in this town; tera means temple.
店[みせ]の前[まえ]に広[ひろ]い駐車場[ちゅうしゃじょう]があります,there is a large parking lot in front of the shop; chuushajou means parking lot.
妹[いもうと]は医者[いしゃ]になりたいと言[い]っています,my little sister says she wants to become a doctor; isha means doctor.
夏[なつ]は少[すこ]し歩[ある]くだけで汗[あせ]をかきます,in summer I sweat just from walking a little; ase means sweat.
子供[こども]に熱[ねつ]があるので家[いえ]にいます,my child has a fever so we are staying home; netsu means fever.
風邪[かぜ]をひいて学校[がっこう]を休[やす]みました,I caught a cold and stayed home from school; kaze means a common cold.
走[はし]っている時[とき]に怪我[けが]をしました,I got injured while running; kega means injury.
重[おも]い荷物[にもつ]を持[も]って腕[うで]が痛[いた]くなりました,I carried heavy luggage and my arms started to hurt; ude means arm.
父[ちち]の背中[せなか]はとても広[ひろ]いです,my father's back is very broad; senaka means back.
その映画[えいが]を見[み]て涙[なみだ]が出[で]ました,tears came to my eyes watching that movie; namida means tears.
妹[いもうと]の髪[かみ]はとても長[なが]いです,my little sister's hair is very long; kami means hair.
甘[あま]い物[もの]をたくさん食[た]べると歯[は]に悪[わる]いです,eating a lot of sweet things is bad for your teeth; ha means tooth.
子供[こども]の指[ゆび]は小[ちい]さくてかわいいです,a child's fingers are small and cute; yubi means finger.
今朝[けさ]から首[くび]が少[すこ]し痛[いた]いです,my neck has hurt a little since this morning; kubi means neck.
重[おも]い鞄[かばん]を持[も]つと肩[かた]が痛[いた]くなります,my shoulders hurt when I carry a heavy bag; kata means shoulder.
お腹[なか]がすいたので何[なに]か食[た]べます,I am hungry so I will eat something; onaka means stomach or belly.
兄[あに]は力[ちから]がとても強[つよ]いです,my older brother is very strong; chikara means strength.
親切[しんせつ]な人[ひと]が重[おも]い荷物[にもつ]を持[も]ってくれました,a kind person carried my heavy luggage for me; shinsetsu means kindness.
これは母[はは]からもらった大切[たいせつ]な物[もの]です,this is a precious thing I received from my mother; taisetsu means importance.
今日[きょう]はとても気持[きも]ちがいい天気[てんき]です,the weather feels really pleasant today; kimochi means feeling.
港[みなと]から海[うみ]がよく見[み]えます,you can see the sea well from the port; minato means port.
空港[くうこう]まで電車[でんしゃ]で行[い]きました,I went to the airport by train; kuukou means airport.
