es,en
**Es** para mí,"It's for me; ser in the present, for he/she/it — this is what it is, not how it happens to be right now."
En ese **caso** no voy,"In that case I'm not going; Masculine noun for a case, hacer caso means to pay attention."
Ustedes **pueden** salir,"You can go out; poder in the present, for they — can or be allowed to."
¿Qué **pasó**?,"What happened?; pasar in the past, for he/she/it — happened or passed by, it's over."
Ese **chico** es mi hermano,"That boy is my brother; Masculine noun for a boy or a young guy, also means small."
Yo no **hice** nada,"I didn't do anything; hacer in the past, for I — did or made, it happened, it's over."
Hay muchas **personas** aquí,"There are a lot of people here; Feminine plural of persona, individual people you can count."
¿Está la **señora** en casa?,"Is the lady of the house in?; Feminine noun for a married or older woman, also means wife."
Quiero **volver** a casa,"I want to go back home; the plain form of volver, to return or with a plus another plain verb to do again."
Vamos por ese **camino**,"Let's go along that path; Masculine noun for a road or path, en camino means on the way."
Está **hablando** con mi madre,"He's talking to my mother; the -ing form of hablar, talking and also used after seguir or ir."
De ninguna **manera**,"No way; Feminine noun for a way or a method, de ninguna manera means no way."
¿Quién es esa **persona**?,Who is that person?; Feminine noun for a person and always feminine even about a man.
Necesito tu **ayuda**,I need your help; Feminine noun for help and alone it is a shout for help.
¿Sabes esta **historia**?,Do you know this story?; Feminine noun covering both a story and history.
**Iba** a decir algo,"I was going to say something; ir in the past, for I or he/she/it — was going, back then over a stretch of time."
**Supongo** que sí,"I suppose so; suponer in the present, for I — to suppose or assume."
No **entiendo** nada,"I do not understand anything; entender in the present, for I — to understand."
Hay alguien en la **puerta**,Someone is at the door; Feminine noun for a door or a gate.
¿**Ves** lo que digo?,"Do you see what I mean?; ver in the present, for you (tú) — to see."
Nada va a **pasar**,"Nothing is going to happen; the plain form of pasar, to happen or pass by or spend time."
¿Qué **significa** eso?,"What does that mean?; significar in the present, for he/she/it — to mean."
¿Qué día de la **semana** es?,What day of the week is it?; Feminine noun for a week and fin de semana is the weekend.
**Espero** verte hoy,"I hope to see you today; esperar in the present, for I — to hope or wait or expect."
Un **año** más aquí,One more year here; Masculine noun for a year.
Los **niños** no están,The kids are not here; Masculine plural of niño for children including mixed groups of boys and girls.
¡**Tío**! ¿Qué haces?,Hey man! What are you doing?; Masculine noun for an uncle and in Spain a casual dude.
¡Qué **suerte** tienes!,You are so lucky!; Feminine noun for luck which you have with tener suerte.
Vamos a otra **ciudad**,We are going to another city; Feminine noun for a city with the plural ciudades.
Ni **siquiera** sabe mi nombre,He does not even know my name; Adverb paired with ni to mean not even.
¿Quieres **venir** conmigo?,"Do you want to come with me?; the plain form of venir, to come toward the speaker."
Mi **hija** tiene dos años,My daughter is two years old; Feminine noun for a daughter.
Me **gustaría** hablar contigo,"I would like to talk with you; gustar in the would-form, for he/she/it — it would please me."
Espera cinco **minutos**,Wait five minutes; Masculine plural of minuto for minutes.
La **muerte** de su padre,His father's death; Feminine noun for death despite the final -e.
¿Puedes **dejar** eso aquí?,"Can you leave that here?; the plain form of dejar, to leave something or let someone do something."
En **realidad** no lo sé,Actually I do not know; Feminine noun for reality and en realidad means actually.
No **deja** de hablar,"He does not stop talking; dejar in the present, for he/she/it — dejar de means stop doing something."
Tenemos **problemas**,We have problems; Masculine plural of problema and masculine despite the final -a.
Nadie me **da** nada,"Nobody gives me anything; dar in the present, for he/she/it — to give."
Mi **corazón** es tuyo,My heart is yours; Masculine noun for a heart with the plural corazones.
Tengo **miedo**,I am scared; Masculine noun for fear which you have with tener miedo.
¿Dónde está el **jefe**?,Where is the boss?; Masculine noun for a boss with la jefa for a woman.
Quiero un poco de **agua**,I want a little water; Feminine noun for water though it takes el in the singular.
Hace tres **horas** que espero,I have been waiting three hours; Feminine plural of hora for hours or clock time.
El **poder** es todo,"Power is everything; Masculine noun for power, and also the plain form of the verb poder."
Mi **esposa** está en casa,My wife is at home; Feminine noun for a wife and in the plural also handcuffs.
¡**Manos** arriba!,Hands up!; Feminine plural of mano for hands and feminine despite the final -o.
**Debes** ver esto,"You must see this; deber in the present, for you (tú) — must or ought to."
¿**Viene** alguien más?,"Is anyone else coming?; venir in the present, for he/she/it — to come toward the speaker."
¡**Venga**! ¡Vamos!,"Come on! Let's go!; venir in the subjunctive (after wishes, doubt, hopes), for he/she/it — also the polite command to one person."
Tiene los **ojos** de su madre,She has her mother's eyes; Masculine plural of ojo for eyes and ¡Ojo! warns you to watch out.
Quiero **encontrar** un lugar,"I want to find a place; the plain form of encontrar, to find, with the stem change in encuentro."
Dame la **mano**,Give me your hand; Feminine noun for a hand and feminine despite the final -o.
Ese **niño** es mi hijo,That boy is my son; Masculine noun for a small boy or child.
No quiero ver tu **cara**,I do not want to see your face; Feminine noun for a face.
¡**Cuidado** con el agua!,Careful with the water!; Masculine noun for care used in tener cuidado to be careful.
Tres **noches** sin ti,Three nights without you; Feminine plural of noche for nights as in buenas noches.
Es el **fin** del mundo,It is the end of the world; Masculine noun for an end and por fin means at last.
¿Vamos a **tomar** algo?,"Shall we go for a drink?; the plain form of tomar, to take or to drink."
**Escucha** a tu madre,"Listen to your mother; escuchar in the present, for he/she/it — also the command to one person (tú)."
Estamos a **punto** de salir,We are about to leave; Masculine noun for a point or dot or full stop.
¿**Sigue** aquí?,"Is he still here?; seguir in the present, for he/she/it — to follow, or to keep on being something."
Espero que **haya** agua,"I hope there is water; haber in the subjunctive (after wishes, doubt, hopes), for he/she/it — used after words that call for that mood."
Mi **equipo** es mi familia,My team is my family; Masculine noun for a team or the gear and kit for a job.
Tu padre **necesita** ayuda,"Your father needs help; necesitar in the present, for he/she/it — to need something."
¿A qué hora vas a **llegar**?,"What time are you going to arrive?; the plain form of llegar, to arrive — it takes a before the destination."
El **doctor** ya está aquí,The doctor is already here; Masculine noun for a doctor and also a title of address.
Ojalá **hubiera** tiempo,"If only there were time; haber in the past subjunctive, for he/she/it — for wishes that aren't real and if-clauses."
Mi **coche** está en casa,My car is at home; Masculine noun for a car and the everyday word in Spain.
¿Qué **hago** ahora?,"What do I do now?; hacer in the present, for I — to do or to make."
Tengo **clase** por la mañana,I have class in the morning; Feminine noun for a class or lesson and also a kind or sort.
¿Por qué **dices** eso?,"Why do you say that?; decir in the present, for you (tú) — to say or to tell."
¿Cómo se **llama** tu madre?,"What is your mother's name?; llamar in the present, for he/she/it — to call, and with se it means to be named."
**Toma** mi mano,"Take my hand; tomar in the present, for he/she/it — to take or to drink, and the same form works as a command."
La **tierra** es nuestra casa,The earth is our home; Feminine noun for soil or land or the planet itself.
Esta **guerra** no tiene fin,"This war has no end; Feminine noun for war, and dar guerra means being a handful."
Déjame **pensar** un momento,"Let me think for a moment; the plain form of pensar, to think — pensar en is to think about something."
Espero que **pueda** venir,"I hope she can come; poder in the subjunctive (after wishes, doubt, hopes), for he/she/it — to be able to do something."
Hay **sangre** en el agua,There is blood in the water; Feminine noun for blood with no ordinary plural.
Las **mujeres** ya están aquí,The women are here already; Plural of the feminine noun mujer meaning women and also wives.
Solo una **vuelta** más,Just one more lap; Feminine noun for a turn or a lap or the change from a payment.
**Fui** yo,"It was me; ser in the past, for I — it happened, it's over, and the same form is shared with ir."
No quiero **trabajar** hoy,"I don't want to work today; the plain form of trabajar, to work — trabajar en names the workplace."
No he **tenido** tiempo,"I haven't had time; past participle of tener (the -ed form, pairs with haber), which never changes for gender."
Este **juego** me gusta,I like this game; Masculine noun for a game or a match and also a set of things.
Su **cuerpo** no está bien,His body isn't well; Masculine noun for a body and also a corps of people.
¿Puedo **entrar**?,"Can I come in?; the plain form of entrar, to go in — it takes en or a before the place."
Nadie me **cree**,"Nobody believes me; creer in the present, for he/she/it — to believe, and creer en is to believe in."
Ella no **podía** hablar,"She couldn't speak; poder in the past, for he/she/it — an ongoing inability over a stretch of time, not one failed moment."
**Debemos** irnos ahora,"We have to go now; deber in the present, for we — must, and deber plus the plain form of a verb states an obligation."
Dame una **oportunidad**,Give me a chance; Feminine noun for a chance or an opening for something.
¿Dónde está mi **teléfono**?,Where is my phone?; Masculine noun for a telephone and por teléfono means on the phone.
**Necesitamos** más tiempo,"We need more time; necesitar in the present, for we — to need, and it takes its object directly."
Al **final** no pasó nada,In the end nothing happened; Masculine noun for an ending while la final is a championship match.
¿Vas a la **fiesta**?,Are you going to the party?; Feminine noun for a party and also a public holiday.
¿Dónde **estabas** anoche?,"Where were you last night?; estar in the past, for you (tú) — the normal past for where something was or how it was."
Todos **quieren** dinero,"Everybody wants money; querer in the present, for they — to want, and with a it means to love a person."
El **auto** de mi hermano,My brother's car; Masculine noun for a car short for automóvil and usual in Latin America.
¿Me puedes **dar** algo?,"Can you give me something?; the plain form of dar, to give — it builds set phrases like dar miedo."
Quiero **vivir** aquí,"I want to live here; the plain form of vivir, to live — vivir de names what you live on."
Mi **hermana** no sabe nada,My sister knows nothing; Feminine noun for a sister while the plural hermanos covers mixed siblings.
¿Cuál es tu **número**?,What's your number?; Masculine noun for a number and also a size or an issue.
Sólo dos **meses** más,Just two more months; Plural of the masculine noun mes meaning months and el mes que viene is next month.
No es mi **culpa**,It's not my fault; Feminine noun for fault or blame and tener la culpa is to be guilty.
Los niños están en la **escuela**,The kids are at school; Feminine noun for a school usually the primary one.
Se ha **ido** ya,"He has already left; past participle of ir (the -ed form, pairs with haber), and with se it means having left."
¿Qué estás **diciendo**?,"What are you saying?; the -ing form of decir, used with estar for something happening right now."
Tu jefe **habla** mucho,"Your boss talks a lot; hablar in the present, for he/she/it — to speak or talk to someone."
Quizás **esté** en el coche,"Maybe it's in the car; estar in the subjunctive (after wishes, doubt, hopes), for he/she/it — used after words of doubt like quizás."
Tengo una **pregunta**,I have a question; Feminine noun for a question and you hacer una pregunta rather than say one.
Las **chicas** están hablando,The girls are talking; Plural of the feminine noun chica meaning girls or young women.
¿**Eran** tus amigos?,"Were they your friends?; ser in the past, for they — that's how people or things used to be back then, over a stretch of time."
¿Qué está **pasando**?,"What's going on?; pasar in the -ing form — to happen, to pass by, or to spend time."
¿Dónde está el **capitán**?,"Where is the captain?; Masculine noun for a captain, a ship's master or a team leader."
Mi hermana tiene un **bebé**,"My sister has a baby; Masculine noun for a baby, it stays masculine even for a girl."
No **sabemos** nada,"We don't know anything; saber in the present, for we — to know a fact or piece of information."
¿Te gusta la **comida**?,Do you like the food?; Feminine noun for food and also the main meal of the day.
No quiero **morir**,"I don't want to die; the plain form of morir, to die, the stem becomes ue in muero."
No **conozco** a ese hombre,"I don't know that man; conocer in the present, for I — to know or be acquainted with people."
¿Vamos a **comer** algo?,"Shall we go eat something?; the plain form of comer, to eat and often to have lunch."
Un **vino** por favor,"A wine please; Masculine noun for wine, the drink made from grapes."
¿Tienes la **lista**?,"Do you have the list?; Feminine noun for a list, as an adjective it means ready or clever."
Quiero que lo **haga** él,"I want him to do it; hacer in the subjunctive (after wishes, doubt, hopes), for he/she/it — to do or make, required after querer que."
Tengo dos **hijos**,"I have two children; Masculine plural of hijo, sons or children of both sexes."
Mis **padres** están aquí,"My parents are here; Masculine plural of padre, usually the two parents together."
La **habitación** está lista,"The room is ready; Feminine noun for a room, a bedroom or a hotel room."
No puedo **creer** esto,"I can't believe this; the plain form of creer, to believe or to think something true."
Estoy **pensando** en ti,"I'm thinking about you; pensar in the -ing form — to think, and pensar en means to think about."
**Fueron** dos días,"It was two days; ser in the past, for they — it happened, it's over, a fact about identity."
¿De qué se **trata**?,"What's it about?; tratar in the present, for he/she/it — to treat, and tratarse de means to be about."
Te estoy **buscando**,"I'm looking for you; buscar in the -ing form — to look for, and it takes no preposition."
Nunca **tuve** miedo,"I was never afraid; tener in the past, for I — to have, a state that started and finished."
Te **amo** mucho,"I love you so much; amar in the present, for I — to love deeply."
Eres muy **joven**,"You're very young; Adjective meaning young, also a noun for a young person of either sex."
Un **par** de horas,"A couple of hours; Masculine noun for a pair, un par de means a couple of."
¿Qué **hacen** aquí?,"What are they doing here?; hacer in the present, for they — to do or make."
Vamos a **seguir** así,"We'll keep going like this; the plain form of seguir, to follow or to keep doing something."
¿Qué **dicen** ellos?,"What do they say?; decir in the present, for they — to say or tell."
No tengo ni **puta** idea,"I haven't got a clue; Feminine noun for a whore, most often a very crude intensifier."
Ellos no **saben** nada,"They don't know anything; saber in the present, for they — to know facts or information."
No tiene **sentido**,It doesn't make sense; Masculine noun for meaning or sense and also a direction of travel.
No **hagas** eso,"Don't do that; hacer in the subjunctive (after wishes, doubt, hopes), for you (tú) — used for the negative command don't do."
Hay que **esperar** un poco,"We have to wait a bit; the plain form of esperar, to wait or to hope or to expect."
Tiene un **arma**,"He has a weapon; Feminine noun for a weapon, it takes el in the singular."
Son cinco **dólares**,"That's five dollars; Masculine plural of dólar, dollars as money."
**Estaban** en la casa,"They were at the house; estar in the past, for they — that's how or where they were back then, over a stretch of time."
Es por tu **seguridad**,It's for your safety; Feminine noun for safety and security and also confidence.
**Estuvo** aquí ayer,"He was here yesterday; estar in the past, for he/she/it — it happened, it's over, a finished stay somewhere."
No te **preocupes**,"Don't worry; preocupar in the subjunctive (after wishes, doubt, hopes), for you (tú) — no te preocupes means don't worry."
Dame tu **palabra**,Give me your word; Feminine noun for a word and also a promise you give.
Te estamos **esperando**,We're waiting for you; esperar in the -ing form — to wait for or to expect.
No **queda** nada,"There's nothing left; quedar in the present, for he/she/it — to remain or be left."
¿Está en su **oficina**?,Is he in his office?; Feminine noun for an office or a public bureau.
No puedes **matar** a nadie,"You can't kill anyone; the plain form of matar, to kill, the victim needs a personal a."
**Iré** contigo,"I'll go with you; ir in the future, for I — I will go."
El bebé está en la **cama**,The baby is in bed; Feminine noun for a bed as in irse a la cama.
No he **oído** nada,"I haven't heard anything; past participle of oír (the -ed form, pairs with haber), to hear, also the noun for ear."
No **habría** problemas,"There wouldn't be any problems; haber in the would-form, for he/she/it — there would be or would have."
¿Dónde **estará** mi teléfono?,"Where can my phone be?; estar in the future, for he/she/it — often a guess about right now."
Me **dio** su número,"He gave me his number; dar in the past, for he/she/it — to give, and it's done."
Es un **recuerdo** de mi padre,"It's a keepsake from my father; Masculine noun for a memory or a souvenir, recuerdos also sends regards."
No está **siendo** justo,"He is not being fair; ser in the -ing form, used with estar for how someone is acting right now rather than who they are."
Espero que **tenga** razón,"I hope he is right; tener in the subjunctive (after wishes, doubt, hopes), for he/she/it — also works as a polite command to one person."
No hay **luz** aquí,"There is no light here; Feminine noun for light, daylight, or electricity, with plural luces."
¿Qué **demonios** hace?,"What the hell is he doing?; Plural of the masculine demonio, used as a mild swear after qué."
Quiero **dormir** un poco,"I want to sleep a bit; the plain form of dormir, to sleep — it changes its stem to duermo."
No es su **sitio**,"This is not his place; Masculine noun for a spot or seat, and un sitio web means website."
¿Puedo **ayudar** en algo?,"Can I help with something?; the plain form of ayudar, to help — it takes a personal a before people."
Tengo que **conseguir** dinero,"I have to get hold of some money; the plain form of conseguir, to obtain or manage after effort — the yo form is consigo."
Mi **marido** no sabe nada,"My husband knows nothing; Masculine noun for husband, the everyday word in speech."
Déjame en **paz**,"Leave me alone; Feminine noun for peace, and en paz means left alone."
No me gusta tu **plan**,"I do not like your plan; Masculine noun for a plan, with plural planes."
Me ha **dado** su palabra,"He has given me his word; past participle of dar (the -ed form, pairs with haber), meaning given — it never changes after haber."
Su padre **murió** ayer,"His father died yesterday; morir in the past, for he/she/it — he or she died, it happened, it's over."
Todo el **pueblo** lo sabe,"The whole village knows; Masculine noun for a village, or a people as a nation."
¿Ha **venido** alguien?,"Has anyone come?; past participle of venir (the -ed form, pairs with haber), meaning come toward the speaker."
¡Ya **basta** de problemas!,"Enough problems already!; bastar in the present, for he/she/it — said on its own to mean that is enough."
Un **paso** a la vez,One step at a time; Masculine noun for a step or pace.
**Deberíamos** hablar de esto,"We should talk about this; deber as the would-form, for we — a polite way to suggest something."
Me gusta esta **música**,"I like this music; Feminine noun for music, and also sheet music or a band's sound."
Quiero que **diga** la verdad,"I want him to tell the truth; decir in the subjunctive (after wishes, doubt, hopes), for he/she/it — also works as a polite command to one person."
Espera un **minuto**,"Hold on a minute; Masculine noun for minute, often just a moment in speech."
Voy a **llamar** a la policía,"I am going to call the police; the plain form of llamar, to call by phone, by shouting, or by name."
